loading word embeddings...
Loaded word embeddings from cache.
 [=====================-------------------] ...Epoch 2, Loss: 0.5579
 
 [======================------------------] ...Epoch 2, Loss: 0.5843
 
 [======================------------------] ...Epoch 2, Loss: 0.6020
 
 [=======================-----------------] ...Epoch 2, Loss: 0.6220
 
 [=======================-----------------] ...Epoch 2, Loss: 0.6208
 
 [========================----------------] ...Epoch 2, Loss: 0.6097
 
 [========================----------------] ...Epoch 2, Loss: 0.5472
 
 [=========================---------------] ...Epoch 2, Loss: 0.5661
 
 [=========================---------------] ...Epoch 2, Loss: 0.5970
 
 [==========================--------------] ...Epoch 2, Loss: 0.5392
 
 [==========================--------------] ...Epoch 2, Loss: 0.6740
 
 [===========================-------------] ...Epoch 2, Loss: 0.6947
 
 [===========================-------------] ...Epoch 2, Loss: 0.5870
 
 [============================------------] ...Epoch 2, Loss: 0.5842
 
 [============================------------] ...Epoch 2, Loss: 0.5599
 
 [=============================-----------] ...Epoch 2, Loss: 0.5751
 
 [=============================-----------] ...Epoch 2, Loss: 0.6307
 
 [==============================----------] ...Epoch 2, Loss: 0.6166
 
 [==============================----------] ...Epoch 2, Loss: 0.5913
 
 [===============================---------] ...Epoch 2, Loss: 0.6005
 
 [===============================---------] ...Epoch 2, Loss: 0.6072
 
 [================================--------] ...Epoch 2, Loss: 0.5547
 
 [================================--------] ...Epoch 2, Loss: 0.5757 best model!

 
 [=---------------------------------------] ...Epoch 3, Loss: 0.6416
 
 [=---------------------------------------] ...Epoch 3, Loss: 0.5501
 
 [==--------------------------------------] ...Epoch 3, Loss: 0.6098
 
 [==--------------------------------------] ...Epoch 3, Loss: 0.6021
 
 [===-------------------------------------] ...Epoch 3, Loss: 0.6520
 
 [===-------------------------------------] ...Epoch 3, Loss: 0.5522
 
 [====------------------------------------] ...Epoch 3, Loss: 0.5754
 
 [====------------------------------------] ...Epoch 3, Loss: 0.6532
 
 [=====-----------------------------------] ...Epoch 3, Loss: 0.5880
 
 [=====-----------------------------------] ...Epoch 3, Loss: 0.5277
 
 [======----------------------------------] ...Epoch 3, Loss: 0.5886
 
 [======----------------------------------] ...Epoch 3, Loss: 0.6045
 
 [=======---------------------------------] ...Epoch 3, Loss: 0.5339
 
 [=======---------------------------------] ...Epoch 3, Loss: 0.5750
 
 [========--------------------------------] ...Epoch 3, Loss: 0.5655
 
 [========--------------------------------] ...Epoch 3, Loss: 0.6481
 
 [=========-------------------------------] ...Epoch 3, Loss: 0.5565
 
 [=========-------------------------------] ...Epoch 3, Loss: 0.5700
 
 [==========------------------------------] ...Epoch 3, Loss: 0.5101
 
 [==========------------------------------] ...Epoch 3, Loss: 0.5804
 
 [===========-----------------------------] ...Epoch 3, Loss: 0.5351
 
 [===========-----------------------------] ...Epoch 3, Loss: 0.6093
 
 [============----------------------------] ...Epoch 3, Loss: 0.5923
 
 [============----------------------------] ...Epoch 3, Loss: 0.6035
 
 [=============---------------------------] ...Epoch 3, Loss: 0.5648
 
 [=============---------------------------] ...Epoch 3, Loss: 0.5993
 
 [==============--------------------------] ...Epoch 3, Loss: 0.5545
 
 [==============--------------------------] ...Epoch 3, Loss: 0.6122
 
 [===============-------------------------] ...Epoch 3, Loss: 0.5574
 
 [===============-------------------------] ...Epoch 3, Loss: 0.5370
 
 [================------------------------] ...Epoch 3, Loss: 0.5507
 
 [================------------------------] ...Epoch 3, Loss: 0.5126
 
 [=================-----------------------] ...Epoch 3, Loss: 0.5425
 
 [=================-----------------------] ...Epoch 3, Loss: 0.5475
 
 [==================----------------------] ...Epoch 3, Loss: 0.5765
 
 [==================----------------------] ...Epoch 3, Loss: 0.5760
 
 [===================---------------------] ...Epoch 3, Loss: 0.6219
 
 [===================---------------------] ...Epoch 3, Loss: 0.5510
 
 [====================--------------------] ...Epoch 3, Loss: 0.6356
 
 [====================--------------------] ...Epoch 3, Loss: 0.5503
 
 [=====================-------------------] ...Epoch 3, Loss: 0.5469
 
 [======================------------------] ...Epoch 3, Loss: 0.4909
 
 [======================------------------] ...Epoch 3, Loss: 0.5720
 
 [=======================-----------------] ...Epoch 3, Loss: 0.5894
 
 [=======================-----------------] ...Epoch 3, Loss: 0.5341
 
 [========================----------------] ...Epoch 3, Loss: 0.4872
 
 [========================----------------] ...Epoch 3, Loss: 0.5879
 
 [=========================---------------] ...Epoch 3, Loss: 0.5348
 
 [=========================---------------] ...Epoch 3, Loss: 0.5777
 
